match,dayofweek,match_time,home_team,away_team,home_xg,away_xg,score,attendance,venue,referee,home_formation,away_formation,home_captain,away_captain,home_manager,away_manager,home_possession,away_possession,home_completed_passes,home_attempted_pases,away_completed_passes,away_attempted_pases,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_touches,away_touches,home_tackles,away_tackles,home_interceptions,away_interceptions,home_aerials_won,away_aerials_won,home_clearances,away_clearances,home_offsides,away_offsides,home_gks,away_gks,home_throw_ins,away_throw_ins,home_long_balls,away_long_balls
11,Wed,2022-11-23 19:00:00,Spain,Costa Rica,3.5,0.0,7–0,40013,Al Thumama Stadium,Mohammed Abdulla Hassan,4-3-3,4-4-2,Sergio Busquets,Keylor Navas,Luis Enrique,Luis Fernando Suárez,81,19,1009,1093,178,256,7,0,16,0,0,1,8,12,5,0,15,4,1179,343,14,21,4,14,9,13,4,18,3,7,0,10,24,13,58,49
12,Wed,2022-11-23 22:00:00,Belgium,Canada,0.8,2.4,1–0,40432,Ahmed bin Ali Stadium,Janny Sikazwe,3-4-3,3-4-3,Eden Hazard,Atiba Hutchinson,Roberto Martínez,John Herdman,53,47,451,546,392,485,3,2,9,21,2,2,11,14,4,4,7,19,658,585,19,13,3,5,8,7,29,4,0,1,18,7,16,28,70,66
13,Thu,2022-11-24 13:00:00,Switzerland,Cameroon,1.4,0.7,1–0,39089,Al Janoub Stadium,Facundo Tello,4-2-3-1,4-3-3,Granit Xhaka,Eric Maxim Choupo-Moting,Murat Yakin,Rigobert Song,51,49,455,558,442,537,3,5,7,8,5,2,12,10,11,5,20,23,634,633,15,12,3,11,14,12,20,17,2,2,4,9,16,12,53,73
14,Thu,2022-11-24 16:00:00,Uruguay,Korea Republic,0.6,0.6,0–0,41663,Education City Stadium,Clément Turpin,4-3-3,4-2-3-1,Diego Godín,Son Heung-min,Diego Alonso,Paulo Bento,56,44,475,585,350,467,1,0,10,7,0,1,7,10,4,3,13,19,693,557,16,12,10,10,25,21,20,16,1,0,8,9,22,28,82,75
15,Thu,2022-11-24 19:00:00,Portugal,Ghana,2.0,0.9,3–2,42662,Stadium 974,Ismail Elfath,4-3-3,5-3-2,Cristiano Ronaldo,André Ayew,Fernando Santos,Otto Addo,62,38,572,660,328,413,4,3,10,9,1,2,14,19,3,3,20,11,740,502,16,14,5,6,19,7,15,17,1,1,6,12,9,11,56,49
16,Thu,2022-11-24 22:00:00,Brazil,Serbia,2.4,0.2,2–0,88103,Lusail Iconic Stadium,Alireza Faghani,4-2-3-1,3-4-3,Thiago Silva,Dušan Tadić,Tite,Dragan Stojković,59,41,534,628,344,439,9,0,23,5,0,7,7,12,6,4,17,13,746,552,17,24,2,11,8,11,16,22,1,0,6,10,24,15,42,63
17,Fri,2022-11-25 13:00:00,Wales,IR Iran,0.9,1.4,0–2,40875,Ahmed bin Ali Stadium,Mario Escobar,3-5-2,4-3-3,Gareth Bale,Ehsan Hajsafi,Rob Page,Carlos Queiroz,62,38,437,568,222,350,3,6,10,21,4,3,9,10,2,7,20,24,688,468,10,19,6,14,21,15,30,20,2,2,8,8,30,18,93,86
18,Fri,2022-11-25 16:00:00,Qatar,Senegal,1.0,0.8,1–3,41797,Al Thumama Stadium,Antonio Matéu,5-3-2,4-4-2,Hassan Al-Haydos,Kalidou Koulibaly,Félix Sánchez,Aliou Cissé,45,55,333,417,459,548,3,5,10,13,2,2,7,12,6,6,20,18,505,640,16,8,10,5,12,15,16,18,4,3,11,8,10,22,66,73
19,Fri,2022-11-25 19:00:00,Netherlands,Ecuador,0.1,1.7,1–1,44833,Khalifa International Stadium,Mustapha Ghorbal,3-4-1-2,3-4-3,Virgil van Dijk,Enner Valencia,Louis van Gaal,Gustavo Alfaro,54,46,442,542,358,468,1,4,2,15,3,0,15,12,2,5,7,22,650,575,25,16,9,9,18,15,23,16,1,4,7,5,21,29,52,71
20,Fri,2022-11-25 22:00:00,England,United States,0.8,0.6,0–0,68463,Al Bayt Stadium,Jesús Valenzuela,4-2-3-1,4-4-2,Harry Kane,Tyler Adams,Gareth Southgate,Gregg Berhalter,55,45,495,577,378,463,3,1,8,10,1,3,9,15,3,7,14,16,655,556,9,12,9,3,11,10,21,15,1,0,7,3,18,16,59,62
21,Sat,2022-11-26 13:00:00,Tunisia,Australia,0.9,0.6,0–1,41823,Al Janoub Stadium,Daniel Siebert,3-4-3,4-4-2,Youssef Msakni,Mathew Ryan,Jalel Kadri,Graham Arnold,59,41,418,565,264,398,4,2,14,9,1,4,16,15,5,2,25,21,687,551,18,19,8,11,26,24,24,38,3,0,5,8,40,22,99,83
22,Sat,2022-11-26 16:00:00,Poland,Saudi Arabia,1.6,1.7,2–0,44259,Education City Stadium,Wilton Sampaio,4-4-2,4-1-4-1,Robert Lewandowski,Salem Al-Dawsari,Czesław Michniewicz,Hervé Renard,37,63,249,337,483,582,3,4,9,15,4,1,18,15,4,5,16,20,454,687,13,14,9,9,15,20,29,13,0,0,14,7,21,20,80,58
23,Sat,2022-11-26 19:00:00,France,Denmark,2.4,0.6,2–1,42860,Stadium 974,Szymon Marciniak,4-2-3-1,3-4-3,Hugo Lloris,Kasper Schmeichel,Didier Deschamps,Kasper Hjulmand,49,51,455,539,485,572,6,2,21,10,1,4,4,9,6,4,20,16,642,677,20,19,10,5,9,14,15,18,1,1,11,6,22,22,74,62
24,Sat,2022-11-26 22:00:00,Argentina,Mexico,0.3,0.3,2–0,88966,Lusail Iconic Stadium,Daniele Orsato,4-4-2,5-3-2,Lionel Messi,Andrés Guardado,Lionel Scaloni,Tata Martino,58,42,471,568,304,409,2,1,5,4,1,0,15,19,4,2,13,15,668,503,14,18,7,13,15,14,18,17,2,4,6,8,21,19,41,54
25,Sun,2022-11-27 13:00:00,Japan,Costa Rica,0.9,0.1,0–1,41479,Ahmed bin Ali Stadium,Michael Oliver,4-2-3-1,3-4-3,Maya Yoshida,Keylor Navas,Hajime Moriyasu,Luis Fernando Suárez,57,43,528,619,371,473,3,1,13,4,0,3,22,9,5,0,14,6,724,584,17,25,4,9,12,13,7,20,0,2,3,10,19,15,55,78
26,Sun,2022-11-27 16:00:00,Belgium,Morocco,1.0,1.5,0–2,43738,Al Thumama Stadium,César Arturo Ramos,4-2-3-1,4-3-3,Eden Hazard,Romain Saïss,Roberto Martínez,Hoalid Regragui,67,33,602,701,287,351,3,4,10,10,2,3,10,14,9,1,22,8,771,474,15,22,7,9,15,11,5,24,3,3,10,13,18,8,51,56
27,Sun,2022-11-27 19:00:00,Croatia,Canada,2.6,0.4,4–1,44374,Khalifa International Stadium,Andrés Matonte,4-3-3,4-4-2,Luka Modrić,Atiba Hutchinson,Zlatko Dalić,John Herdman,49,51,402,498,435,528,10,2,13,8,1,6,13,5,5,2,21,16,611,645,25,15,10,6,6,13,19,29,1,3,3,3,32,25,64,60
28,Sun,2022-11-27 22:00:00,Spain,Germany,0.6,1.3,1–1,68895,Al Bayt Stadium,Danny Makkelie,4-3-3,4-2-3-1,Sergio Busquets,Manuel Neuer,Luis Enrique,Hansi Flick,64,36,569,670,287,381,3,4,7,11,3,2,13,11,6,5,6,11,774,502,17,29,8,13,9,6,13,12,2,5,7,4,23,15,60,57
