Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist,Pareja
LaLiga ,20,1/24/09,Home,FC Barcelona,CD Numancia,4:1,RW,49',1:0,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,20,1/24/09,Home,FC Barcelona,CD Numancia,4:1,RW,76',4:1,Right-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,21,2/1/09,Away,FC Barcelona,Racing Santander,1:2,RW,65',1:1,Right-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,21,2/1/09,Away,FC Barcelona,Racing Santander,1:2,RW,81',1:2,Right-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,25,3/1/09,Away,FC Barcelona,Atlético de Madrid,4:3,RW,30',0:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
Copa del Rey ,Semi-Finals,3/4/09,Away,FC Barcelona,RCD Mallorca,1:1,RW,81',1:1,Left-footed shot,Gerard Piqué,Antonela Rocuzzo
LaLiga ,26,3/7/09,Home,FC Barcelona,Athletic Bilbao,2:0,RW,31',2:0,Penalty,Not Applicable,Antonela Rocuzzo
Champions League ,last 16,3/11/09,Home,FC Barcelona,Olympique Lyon,5:2,RW,40',3:0,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
LaLiga ,28,3/22/09,Home,FC Barcelona,Málaga CF,6:0,RW,26',2:0,Right-footed shot,Xavi,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/8/09,Home,FC Barcelona,Bayern Munich,4:0,RW,9',1:0,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/8/09,Home,FC Barcelona,Bayern Munich,4:0,RW,38',3:0,Right-footed shot,Thierry Henry,Antonela Rocuzzo
LaLiga ,31,4/18/09,Away,FC Barcelona,Getafe CF,0:1,RW,18',0:1,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,33,4/25/09,Away,FC Barcelona,Valencia CF,2:2,RW,23',0:1,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,34,5/2/09,Away,FC Barcelona,Real Madrid,2:6,CF,35',1:3,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,34,5/2/09,Away,FC Barcelona,Real Madrid,2:6,CF,75',2:5,Left-footed shot,Xavi,Antonela Rocuzzo
Copa del Rey ,Final,5/13/09,Home,FC Barcelona,Athletic Bilbao,4:1,RW,55',2:1,Left-footed shot,Samuel Eto'o,Antonela Rocuzzo
Champions League ,Final,5/27/09,Home,FC Barcelona,Manchester United,2:0,CF,70',2:0,Header,Xavi,Antonela Rocuzzo
Supercopa ,final,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,50',1:0,Right-footed shot,Zlatan Ibrahimović,Antonela Rocuzzo
Supercopa ,final,8/23/09,Home,FC Barcelona,Athletic Bilbao,3:0,RW,68',2:0,Penalty,Not Applicable,Antonela Rocuzzo
LaLiga ,2,9/12/09,Away,FC Barcelona,Getafe CF,0:2,RW,78',0:2,Header,Zlatan Ibrahimović,Antonela Rocuzzo
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,15',2:0,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,3,9/19/09,Home,FC Barcelona,Atlético de Madrid,5:2,RW,90'+3,5:2,Right-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,23',0:2,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,4,9/22/09,Away,FC Barcelona,Racing Santander,1:4,RW,63',0:4,Left-footed shot,Xavi,Antonela Rocuzzo
Champions League ,Group Stage,9/29/09,Home,FC Barcelona,Dynamo Kyiv,2:0,RW,25',1:0,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,8,10/25/09,Home,FC Barcelona,Real Zaragoza,6:1,RW,80',5:1,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,10,11/7/09,Home,FC Barcelona,RCD Mallorca,4:2,RW,86',4:1,Penalty,Not Applicable,Antonela Rocuzzo
Copa del Rey ,4th round,11/10/09,Home,FC Barcelona,Cultural Leonesa,5:0,RW,64',4:0,Left-footed shot,Pedro,Antonela Rocuzzo
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,26',0:1,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,13,12/5/09,Away,FC Barcelona,Deportivo de La Coruña,1:3,RW,80',1:2,Header,Pedro,Antonela Rocuzzo
Champions League ,Group Stage,12/9/09,Away,FC Barcelona,Dynamo Kyiv,1:2,RW,86',1:2,Direct free kick,Not Applicable,Antonela Rocuzzo
Club World Cup ,Semi-Finals,12/16/09,Away,FC Barcelona,CF Atlante,1:3,RW,55',1:2,Left-footed shot,Zlatan Ibrahimović,Antonela Rocuzzo
Club World Cup ,Final,12/19/09,Away,FC Barcelona,Club Estudiantes de La Plata,1:2,RW,110',1:2,Chest,Dani Alves,Antonela Rocuzzo
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,36',0:1,Left-footed shot,Bojan Krkic,Antonela Rocuzzo
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,45',0:3,Right-footed shot,Bojan Krkic,Antonela Rocuzzo
LaLiga ,17,1/10/10,Away,FC Barcelona,CD Tenerife,0:5,RW,75',0:4,Left-footed shot,Bojan Krkic,Antonela Rocuzzo
LaLiga ,18,1/16/10,Home,FC Barcelona,Sevilla FC,4:0,RW,85',3:0,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,18,1/16/10,Home,FC Barcelona,Sevilla FC,4:0,RW,90'+1,4:0,Left-footed shot,Éric Abidal,Antonela Rocuzzo
LaLiga ,19,1/23/10,Away,FC Barcelona,Real Valladolid CF,0:3,RW,54',0:3,Left-footed shot,Zlatan Ibrahimović,Antonela Rocuzzo
LaLiga ,21,2/6/10,Home,FC Barcelona,Getafe CF,2:1,RW,7',1:0,Left-footed shot,Yaya Touré,Antonela Rocuzzo
LaLiga ,24,2/27/10,Home,FC Barcelona,Málaga CF,2:1,RW,84',2:1,Right-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,25,3/6/10,Away,FC Barcelona,UD Almería,2:2,RW,42',1:1,Direct free kick,Not Applicable,Antonela Rocuzzo
LaLiga ,25,3/6/10,Away,FC Barcelona,UD Almería,2:2,RW,66',2:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,56',1:0,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,80',2:0,Left-footed shot,Thierry Henry,Antonela Rocuzzo
LaLiga ,26,3/14/10,Home,FC Barcelona,Valencia CF,3:0,CF,82',3:0,Right-footed shot,Thierry Henry,Antonela Rocuzzo
Champions League ,last 16,3/17/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,13',1:0,Left-footed shot,Yaya Touré,Antonela Rocuzzo
Champions League ,last 16,3/17/10,Home,FC Barcelona,VfB Stuttgart,4:0,CF,56',3:0,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,4',0:1,Header,Pedro,Antonela Rocuzzo
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,65',0:2,Left-footed shot,Not Applicable,Antonela Rocuzzo
LaLiga ,27,3/21/10,Away,FC Barcelona,Real Zaragoza,2:4,RW,78',0:3,Left-footed shot,Andrés Iniesta,Antonela Rocuzzo
LaLiga ,30,4/3/10,Home,FC Barcelona,Athletic Bilbao,4:1,CF,67',4:0,Left-footed shot,Pedro,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,21',1:1,Left-footed shot,Not Applicable,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,37',2:1,Right-footed shot,Pedro,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,42',3:1,Left-footed shot,Seydou Keita,Antonela Rocuzzo
Champions League ,Quarter-Finals,4/6/10,Home,FC Barcelona,Arsenal FC,4:1,CF,88',4:1,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,31,4/10/10,Away,FC Barcelona,Real Madrid,0:2,CF,32',0:1,Right-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,35,5/1/10,Away,FC Barcelona,Villarreal CF,1:4,RW,18',0:1,Left-footed shot,Xavi,Antonela Rocuzzo
LaLiga ,35,5/1/10,Away,FC Barcelona,Villarreal CF,1:4,RW,87',1:4,Left-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,36,5/4/10,Home,FC Barcelona,CD Tenerife,4:1,RW,16',1:0,Right-footed shot,Zlatan Ibrahimović,Antonela Rocuzzo
LaLiga ,36,5/4/10,Home,FC Barcelona,CD Tenerife,4:1,RW,90'+3,4:1,Right-footed shot,Dani Alves,Antonela Rocuzzo
LaLiga ,37,5/8/10,Away,FC Barcelona,Sevilla FC,2:3,RW,5',0:1,Left-footed shot,Maxwell,Antonela Rocuzzo
LaLiga ,38,5/16/10,Home,FC Barcelona,Real Valladolid CF,4:0,RW,61',3:0,Right-footed shot,Yaya Touré,Antonela Rocuzzo
LaLiga ,38,5/16/10,Home,FC Barcelona,Real Valladolid CF,4:0,RW,74',4:0,Left-footed shot,Yaya Touré,Antonela Rocuzzo
