,POC,BussinessSegment,totalVolumen,SkuDistintosPromediosXOrden,SkuDistintosToTales,concentracion,nse,segmentoUnico,canal
1164,364228,HighUsage,2.38,3.0,6,Medio,Medio,1.Inactivos,Tradicional
1177,395710,HighUsage,8.2588,7.0,25,Medio,S/D,2.Masivos,Tradicional
1194,418455,PowerUsage,2.61202,2.3,15,Alto,Medio,4.Activos,Tradicional
1200,421007,PowerUsage,8.930680000000002,7.5,47,Medio,Medio,5.Select,Tradicional
1217,430203,MediumUsage,0.71946,4.0,6,Alto,Medio,2.Masivos,OTROS REF
1228,437659,MediumUsage,6.584709999999999,7.1667,40,Medio,Medio,2.Masivos,Tradicional
1233,440200,HighUsage,36.83644,6.0345,98,Medio,S/D,3.Potenciales,Kioscos/Maxikioscos
1240,443574,MediumUsage,8.4664,8.5556,25,Alto,Medio,2.Masivos,COMIDA
1248,446980,MediumUsage,18.811960000000003,7.2857,45,Alto,S/D,4.Activos,COMIDA
1258,452784,MediumUsage,7.8172,5.4583,38,Medio,S/D,4.Activos,Tradicional
1259,453614,PowerUsage,11.45146,8.6071,69,Alto,S/D,5.Select,Kioscos/Maxikioscos
1261,453794,HighUsage,5.88606,1.9583,12,Medio,S/D,4.Activos,Tradicional
1262,454022,MinimalUsage,2.71574,7.4,20,S/D,S/D,1.Inactivos,Tradicional
1263,454216,PowerUsage,202.33688,2.5441,22,S/D,S/D,5.Select,Tradicional
1264,454680,HighUsage,5.550199999999999,8.8125,45,S/D,S/D,2.Masivos,Tradicional
1268,456100,MediumUsage,6.3614,4.125,16,S/D,S/D,4.Activos,COMIDA
1274,459224,HighUsage,6.22944,5.6429,25,S/D,S/D,2.Masivos,Tradicional
1276,459494,MinimalUsage,0.756,2.0,3,S/D,S/D,2.Masivos,COMIDA
1279,54425,MediumUsage,0.66838,1.6667,4,Medio,Bajo,1.Inactivos,Tradicional
1291,178301,MediumUsage,0.3212399999999999,4.0,4,Medio,Bajo,2.Masivos,COMIDA
1293,183080,HighUsage,3.3622,3.7273,15,Medio,S/D,4.Activos,Tradicional
1302,318002,HighUsage,16.625459999999997,6.3,60,Alto,Medio,4.Activos,Autoservicio
1330,382153,HighUsage,7.44518,6.0526,35,Alto,Medio,4.Activos,Kioscos/Maxikioscos
1334,389874,HighUsage,1.21894,3.6429,19,Medio,Bajo,4.Activos,Tradicional
1343,393739,MediumUsage,11.02906,13.0,59,Alto,Medio,1.Inactivos,Tradicional
1345,398236,MinimalUsage,4.6689,6.8,15,Alto,Medio,1.Inactivos,Tradicional
1351,409803,HighUsage,2.3593,3.5625,22,Alto,Medio,4.Activos,Tradicional
1353,410544,PowerUsage,9.3155,7.0,38,Medio,Medio,2.Masivos,Tradicional
1360,41821,HighUsage,19.3077,4.9259,38,Alto,Medio,4.Activos,Tradicional
1385,438683,PowerUsage,36.98864,12.25,69,Alto,Medio,5.Select,Tradicional
