Tournament;Matchday;Date;Venue;Club;Opponent;Result;Position;Minute;When Scored;Goal Type;Assist;Pareja
LaLiga ;33;4/25/09;Away;FC Barcelona;Valencia CF;02:02:00;RW;23';00:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;34;5/2/09;Away;FC Barcelona;Real Madrid;02:06:00;CF;35';01:03:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;34;5/2/09;Away;FC Barcelona;Real Madrid;02:06:00;CF;75';02:05:00;Left-footed shot;Xavi;Antonela Rocuzzo
Copa del Rey ;Final;5/13/09;Home;FC Barcelona;Athletic Bilbao;04:01:00;RW;55';02:01:00;Left-footed shot;Samuel Eto'o;Antonela Rocuzzo
Champions League ;Final;5/27/09;Home;FC Barcelona;Manchester United;02:00:00;CF;70';02:00:00;Header;Xavi;Antonela Rocuzzo
Supercopa ;final;8/23/09;Home;FC Barcelona;Athletic Bilbao;03:00:00;RW;50';01:00:00;Right-footed shot;Zlatan Ibrahimovi?;Antonela Rocuzzo
Supercopa ;final;8/23/09;Home;FC Barcelona;Athletic Bilbao;03:00:00;RW;68';02:00:00;Penalty;Not Applicable;Antonela Rocuzzo
LaLiga ;2;9/12/09;Away;FC Barcelona;Getafe CF;00:02:00;RW;78';00:02:00;Header;Zlatan Ibrahimovi?;Antonela Rocuzzo
LaLiga ;3;9/19/09;Home;FC Barcelona;Atlético de Madrid;05:02:00;RW;15';02:00:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;3;9/19/09;Home;FC Barcelona;Atlético de Madrid;05:02:00;RW;90'+3;05:02:00;Right-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;4;9/22/09;Away;;Racing Santander;01:04:00;RW;23';00:02:00;Left-footed shot;Xavi;Antonela Rocuzzo
LaLiga ;4;9/22/09;Away;FC Barcelona;Racing Santander;01:04:00;RW;63';00:04:00;Left-footed shot;Xavi;Antonela Rocuzzo
Champions League ;Group Stage;9/29/09;Home;FC Barcelona;Dynamo Kyiv;02:00:00;RW;25';01:00:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;8;10/25/09;Home;FC Barcelona;Real Zaragoza;06:01:00;RW;80';05:01:00;Left-footed shot;Andrés Iniesta;Antonela Rocuzzo
LaLiga ;10;11/7/09;Home;FC Barcelona;RCD Mallorca;04:02:00;RW;86';04:01:00;Penalty;Not Applicable;Antonela Rocuzzo
Copa del Rey ;4th round;11/10/09;Home;FC Barcelona;Cultural Leonesa;05:00:00;RW;64';04:00:00;Left-footed shot;Pedro;Antonela Rocuzzo
LaLiga ;13;12/5/09;Away;FC Barcelona;Deportivo de La Coruña;01:03:00;RW;26';00:01:00;Left-footed shot;Dani Alves;Antonela Rocuzzo
LaLiga ;13;12/5/09;Away;FC Barcelona;Deportivo de La Coruña;01:03:00;RW;80';01:02:00;Header;Pedro;Antonela Rocuzzo
Champions League ;Group Stage;12/9/09;Away;FC Barcelona;Dynamo Kyiv;01:02:00;RW;86';01:02:00;Direct free kick;Not Applicable;Antonela Rocuzzo
Club World Cup ;Semi-Finals;12/16/09;Away;FC Barcelona;CF Atlante;01:03:00;RW;55';01:02:00;Left-footed shot;Zlatan Ibrahimovi?;Antonela Rocuzzo
Club World Cup ;Final;12/19/09;Away;FC Barcelona;Club Estudiantes de La Plata;01:02:00;RW;110';01:02:00;Chest;Dani Alves;Antonela Rocuzzo
LaLiga ;17;1/10/10;Away;FC Barcelona;CD Tenerife;00:05:00;RW;36';00:01:00;Left-footed shot;Bojan Krkic;Antonela Rocuzzo
LaLiga ;17;1/10/10;Away;FC Barcelona;CD Tenerife;00:05:00;RW;45';00:03:00;Right-footed shot;Bojan Krkic;Antonela Rocuzzo
LaLiga ;17;1/10/10;Away;FC Barcelona;CD Tenerife;00:05:00;RW;75';00:04:00;Left-footed shot;Bojan Krkic;Antonela Rocuzzo
